=== DEPENDENCY CHAIN ANALYSIS WITH DEEP FREQUENCY METRICS ===
Folder: QRS_WRS_145603_classfiles_PQSQED\
Source files: 145602
Classes discovered: 145590

CLASS                                                          DEPTH       FREQUENCY            RANKSCORE    RANK   DIRECT
----------------------------------------------------------------------------------------------------------------------------------
PQSQED.OrientalBlackMushroom                                    1662          185712        1662000185712       1       14
PQSQED.MorchellaSemilibera                                      1662          181298        1662000181298       2       11
PQSQED.ChineseBlackMushroom                                     1662          166617        1662000166617       3       14
PQSQED.DryopterisGoldiana                                       1662          164955        1662000164955       4        7
PQSQED.LentinusEdodes                                           1662          160779        1662000160779       5       14
PQSQED.Genus_Cathaya                                            1662          119802        1662000119802       6        4
PQSQED.GoldenOakMushroom                                        1662           96564        1662000096564       7       14
PQSQED.GoldieSShieldFern                                        1662           89379        1662000089379       8        7
PQSQED.ShiitakeMushroom                                         1662           83686        1662000083686       9       14
PQSQED.HalfFreeMorel                                            1662           81264        1662000081264      10       11
PQSQED.GoldieSWoodFern                                          1662           71212        1662000071212      11        7
PQSQED.BellMorel                                                1662           63093        1662000063093      12       10
PQSQED.GoldieSFern                                              1662           59859        1662000059859      13        7
PQSQED.Verpa                                                    1662           44243        1662000044243      14       10
PQSQED.CowSHead                                                 1662           43844        1662000043844      15       11
PQSQED.Shiitake                                                 1662           40022        1662000040022      16       14
PQSQED.Subdivision_Pinophytina                                  1661          164190        1661000164190      17       12
PQSQED.Subdivision_Taxophytina                                  1661          162930        1661000162930      18       11
PQSQED.Subdivision_Ginkgophytina                                1661          159650        1661000159650      19       10
PQSQED.Subdivision_Ginkgophyta                                  1661          140654        1661000140654      20       10
PQSQED.Genus_Spirodela                                          1661          135606        1661000135606      21       11
PQSQED.CheilanthesLanosa                                        1661          123021        1661000123021      22       10
PQSQED.GymnospermousTree                                        1661          120675        1661000120675      23        4
PQSQED.Class_Ginkgophytina                                      1661          112615        1661000112615      24       10
PQSQED.Genus_Pseudotsuga                                        1661          104462        1661000104462      25        5
PQSQED.Class_Pinopsida                                          1661          101154        1661000101154      26       12
PQSQED.Genus_Lemna                                              1661          100134        1661000100134      27       15
PQSQED.Genus_Wolffia                                            1661           97797        1661000097797      28       14
PQSQED.Class_Ginkgopsida                                        1661           96571        1661000096571      29       10
PQSQED.Class_Taxopsida                                          1661           76417        1661000076417      30       11
PQSQED.WoolyLipFern                                             1661           72507        1661000072507      31       10
PQSQED.HairyLipFern                                             1661           71907        1661000071907      32       10
PQSQED.GrapeFern                                                1661           68805        1661000068805      33       10
PQSQED.Spirodela                                                1661           63898        1661000063898      34       11
PQSQED.Stipe                                                    1661           43574        1661000043574      35       11
PQSQED._class                                                   1661           35069        1661000035069      36      666
PQSQED.Pseudotsuga                                              1661           32754        1661000032754      37        5
PQSQED.Lemna                                                    1661           28426        1661000028426      38       15
PQSQED.Wolffia                                                  1661           26089        1661000026089      39       14
PQSQED.DirectorateFor_Inter_Services_Intelligence               1660          340436        1660000340436      40       16
PQSQED.Inter_Services_Intelligence                              1660          230146        1660000230146      41       16
PQSQED.Northern_Alliance                                        1660          175687        1660000175687      42       14
PQSQED.Group_Pteridospermaphyta                                 1660          171334        1660000171334      43       11
PQSQED.Division_Gymnospermophyta                                1660          169248        1660000169248      44       19
PQSQED.PodocarpusFerruginea                                     1660          159992        1660000159992      45        8
PQSQED.OligoporusLeucospongia                                   1660          158660        1660000158660      46       18
PQSQED.Group_Pteridospermae                                     1660          150200        1660000150200      47       11
PQSQED.Genus_Bennettitis                                        1660          148040        1660000148040      48        2
PQSQED.MacrozamiaSpiralis                                       1660          145378        1660000145378      49        8
PQSQED.Pteridospermaphyta                                       1660          143790        1660000143790      50       11
PQSQED.PseudolarixAmabilis                                      1660          143031        1660000143031      51        7
PQSQED.PrumnopitysFerruginea                                    1660          137119        1660000137119      52        8
PQSQED.AcerateLeaf                                              1660          131702        1660000131702      53        3
PQSQED.AraucariaBidwillii                                       1660          130416        1660000130416      54       12
PQSQED.SupportersOf_Islam                                       1660          130114        1660000130114      55       25
PQSQED.PodocarpusSpicata                                        1660          123231        1660000123231      56        4
PQSQED.Pteridospermae                                           1660          122656        1660000122656      57       11
PQSQED.MacrozamiaCommunis                                       1660          121770        1660000121770      58        8
PQSQED.CycasCircinalis                                          1660          120610        1660000120610      59        5
PQSQED.JuniperusCommunis                                        1660          117969        1660000117969      60       18
PQSQED.HarakatUl_Jihad_I_Islami                                 1660          117088        1660000117088      61       14
PQSQED.ParasitaxusUstus                                         1660          114124        1660000114124      62        8
PQSQED.CeleryPine                                               1660          114094        1660000114094      63       11
PQSQED.AraucariaAraucana                                        1660          111308        1660000111308      64        7
PQSQED.Ceratozamia                                              1660          110702        1660000110702      65       10
PQSQED.Class_Gymnospermae                                       1660          109811        1660000109811      66       19
PQSQED.Mullah_Mohammed_Omar                                     1660          109203        1660000109203      67       15
PQSQED.Pteridosperm                                             1660          108033        1660000108033      68        7
PQSQED.CommonJuniper                                            1660          107854        1660000107854      69       18
PQSQED.United_Front                                             1660          104137        1660000104137      70       14
PQSQED.Al_Rashid_Trust                                          1660          103109        1660000103109      71       18
PQSQED.Catenary                                                 1660          101537        1660000101537      72       17
PQSQED.HarkatUl_JihadE_Islami                                   1660          101052        1660000101052      73       14
PQSQED.AnsarAl_Islam                                            1660          101043        1660000101043      74       25
PQSQED.PrumnopitysTaxifolia                                     1660          100660        1660000100660      75        4
PQSQED.Bennettitis                                              1660           95238        1660000095238      76        2
PQSQED.Gymnospermophyta                                         1660           93823        1660000093823      77       19
PQSQED.GoldenLarch                                              1660           89100        1660000089100      78        7
PQSQED.ChilePine                                                1660           88957        1660000088957      79        7
PQSQED.ParasiteYew                                              1660           88281        1660000088281      80        8
PQSQED.Umma_TameerE_Nau                                         1660           85900        1660000085900      81       13
PQSQED.AbsoluteZero                                             1660           85415        1660000085415      82       10
PQSQED.BlackPine                                                1660           79580        1660000079580      83        4
PQSQED.Taleban                                                  1660           72197        1660000072197      84       13
PQSQED.CycasRevoluta                                            1660           67505        1660000067505      85        5
PQSQED.Mullah_Omar                                              1660           67182        1660000067182      86       15
PQSQED.Macrozamia                                               1660           64652        1660000064652      87       11
PQSQED.Burrawong                                                1660           60529        1660000060529      88        8
PQSQED.FernPalm                                                 1660           59609        1660000059609      89        5
PQSQED.SeedFern                                                 1660           58653        1660000058653      90        7
PQSQED.Cryptogamia                                              1660           54457        1660000054457      91       13
PQSQED.MonkeyPuzzle                                             1660           50986        1660000050986      92        7
PQSQED.Cathaya                                                  1660           48094        1660000048094      93        9
PQSQED.FalseSago                                                1660           43662        1660000043662      94        5
PQSQED.Matai                                                    1660           42669        1660000042669      95        4
PQSQED.Frond                                                    1660           42449        1660000042449      96        7
PQSQED.BunyaBunyaTree                                           1660           41996        1660000041996      97       12
PQSQED.Dioon                                                    1660           39553        1660000039553      98        8
PQSQED.Miro                                                     1660           24352        1660000024352      99        8
PQSQED.ISI                                                      1660           22003        1660000022003     100       16
PQSQED.BunyaBunya                                               1660           11529        1660000011529     101       12
PQSQED.UTN                                                      1660            4290        1660000004290     102       13
PQSQED.HUJI                                                     1660            2045        1660000002045     103       14
PQSQED.Order_Lyginopteridales                                   1659          216016        1659000216016     104        5
PQSQED.Transcendentalist                                        1659          206981        1659000206981     105        2
PQSQED.Order_Bennettitales                                      1659          200520        1659000200520     106        3
PQSQED.Division_Spermatophyta                                   1659          187777        1659000187777     107       13
PQSQED.Order_Cycadofilicales                                    1659          184917        1659000184917     108        5
PQSQED.Subdivision_Gnetophytina                                 1659          182646        1659000182646     109       13
PQSQED.Lyginopteridales                                         1659          182359        1659000182359     110        5
PQSQED.Family_Bennettitaceae                                    1659          178873        1659000178873     111        5
PQSQED.Transcendentally                                         1659          176694        1659000176694     112        6
PQSQED.LogicalPositivist                                        1659          159006        1659000159006     113        8
PQSQED.Theoretically                                            1659          153871        1659000153871     114        5
PQSQED.Genus_Athrotaxis                                         1659          145224        1659000145224     115        3
