=== ROBUST DEPENDENCY ANALYZER WITH DEEP FREQUENCY METRICS ===
Scanning folder: ABSRBS\QRS_WRS_145603_classfiles_SANJOYNATH_QRS_WRS_RANKING_PQSQED\

Found project: ABSRBS\QRS_WRS_145603_classfiles_SANJOYNATH_QRS_WRS_RANKING_PQSQED\SANJOYNATH_QRS_WRS_RANKING_PQSQED.csproj
Source files gathered: 145602
All classes discovered: 145590
Parsed: 0.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.0 (direct deps: 6, substrings: 0)
Parsed: 1.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1 (direct deps: 5, substrings: 0)
Parsed: 10.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.10 (direct deps: 6, substrings: 1)
Parsed: 100.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.100 (direct deps: 1, substrings: 3)
Parsed: 1000.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1000 (direct deps: 3, substrings: 5)
Parsed: 10000.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.10000 (direct deps: 6, substrings: 7)
Parsed: 100000.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.100000 (direct deps: 5, substrings: 9)
Parsed: 1000000.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1000000 (direct deps: 6, substrings: 11)
Parsed: 1000000000.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1000000000 (direct deps: 6, substrings: 17)
Parsed: 1000th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1000th (direct deps: 7, substrings: 7)
Parsed: 100th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.100th (direct deps: 7, substrings: 5)
Parsed: 101.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.101 (direct deps: 4, substrings: 3)
Parsed: 101st.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.101st (direct deps: 7, substrings: 5)
Parsed: 105.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.105 (direct deps: 5, substrings: 3)
Parsed: 105th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.105th (direct deps: 8, substrings: 5)
Parsed: 10Membered.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.10Membered (direct deps: 5, substrings: 30)
Parsed: 10th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.10th (direct deps: 9, substrings: 3)
Parsed: 11-Sep.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.11 (direct deps: 7, substrings: 1)
Parsed: 11.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.11 (direct deps: 12, substrings: 1)
Parsed: 110.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.110 (direct deps: 5, substrings: 3)
Parsed: 110th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.110th (direct deps: 8, substrings: 5)
Parsed: 115.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.115 (direct deps: 6, substrings: 3)
Parsed: 115th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.115th (direct deps: 8, substrings: 5)
Parsed: 11Plus.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.11Plus (direct deps: 11, substrings: 8)
Parsed: 11th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.11th (direct deps: 9, substrings: 3)
Parsed: 11_November.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.11_November (direct deps: 7, substrings: 30)
Parsed: 12.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.12 (direct deps: 5, substrings: 1)
Parsed: 120.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.120 (direct deps: 5, substrings: 3)
Parsed: 120th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.120th (direct deps: 8, substrings: 5)
Parsed: 125.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.125 (direct deps: 6, substrings: 3)
Parsed: 125th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.125th (direct deps: 7, substrings: 5)
Parsed: 12th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.12th (direct deps: 9, substrings: 3)
Parsed: 12ToneMusic.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.12ToneMusic (direct deps: 15, substrings: 20)
Parsed: 12ToneSystem.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.12ToneSystem (direct deps: 15, substrings: 25)
Parsed: 13.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.13 (direct deps: 5, substrings: 1)
Parsed: 130.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.130 (direct deps: 6, substrings: 3)
Parsed: 130th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.130th (direct deps: 8, substrings: 5)
Parsed: 135.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.135 (direct deps: 6, substrings: 3)
Parsed: 135th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.135th (direct deps: 7, substrings: 5)
Parsed: 13th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.13th (direct deps: 6, substrings: 3)
Parsed: 14.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.14 (direct deps: 5, substrings: 1)
Parsed: 140.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.140 (direct deps: 6, substrings: 3)
Parsed: 140th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.140th (direct deps: 8, substrings: 5)
Parsed: 144.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.144 (direct deps: 2, substrings: 3)
Parsed: 145.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.145 (direct deps: 6, substrings: 3)
Parsed: 145th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.145th (direct deps: 7, substrings: 5)
Parsed: 14th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.14th (direct deps: 6, substrings: 3)
Parsed: 14_July.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.14_July (direct deps: 7, substrings: 8)
Parsed: 15.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.15 (direct deps: 5, substrings: 1)
Parsed: 150.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.150 (direct deps: 6, substrings: 3)
Parsed: 150th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.150th (direct deps: 8, substrings: 5)
Parsed: 1530s.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1530s (direct deps: 1, substrings: 6)
Parsed: 155.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.155 (direct deps: 6, substrings: 3)
Parsed: 155th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.155th (direct deps: 7, substrings: 5)
Parsed: 15Minutes.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.15Minutes (direct deps: 4, substrings: 23)
Parsed: 15th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.15th (direct deps: 9, substrings: 3)
Parsed: 15_August_1945.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.15_August_1945 (direct deps: 7, substrings: 25)
Parsed: 15_May_Organization.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.15_May_Organization (direct deps: 15, substrings: 73)
Parsed: 16.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.16 (direct deps: 5, substrings: 1)
Parsed: 160.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.160 (direct deps: 6, substrings: 3)
Parsed: 160th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.160th (direct deps: 8, substrings: 5)
Parsed: 165.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.165 (direct deps: 6, substrings: 3)
Parsed: 165th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.165th (direct deps: 7, substrings: 5)
Parsed: 16th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.16th (direct deps: 6, substrings: 3)
Parsed: 16_PF.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.16_PF (direct deps: 11, substrings: 3)
Parsed: 17.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.17 (direct deps: 5, substrings: 1)
Parsed: 170.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.170 (direct deps: 6, substrings: 3)
Parsed: 170th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.170th (direct deps: 8, substrings: 5)
Parsed: 1728.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1728 (direct deps: 7, substrings: 6)
Parsed: 175.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.175 (direct deps: 6, substrings: 3)
Parsed: 1750s.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1750s (direct deps: 1, substrings: 6)
Parsed: 175th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.175th (direct deps: 7, substrings: 5)
Parsed: 1760s.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1760s (direct deps: 1, substrings: 6)
Parsed: 1770s.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1770s (direct deps: 1, substrings: 6)
Parsed: 1780s.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1780s (direct deps: 1, substrings: 6)
Parsed: 1790s.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.1790s (direct deps: 1, substrings: 6)
Parsed: 17th.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.17th (direct deps: 6, substrings: 3)
Parsed: 17_November.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.17_November (direct deps: 14, substrings: 30)
Parsed: 18.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.18 (direct deps: 5, substrings: 1)
Parsed: 180.cs -> SANJOYNATH_QRS_WRS_RANKING_PQSQED.180 (direct deps: 6, substrings: 3)
