=== ROBUST DEPENDENCY ANALYZER WITH DEEP FREQUENCY METRICS ===
Scanning folder: SANJOYNATH_QRS_WRS_RANKING_PQSQEDQRS_WRS_145603_classfiles_PQSQED\

Found project: SANJOYNATH_QRS_WRS_RANKING_PQSQEDQRS_WRS_145603_classfiles_PQSQED\PQSQED.csproj
Source files gathered: 145602
All classes discovered: 145590
Parsed: 0.cs -> PQSQED.0 (direct deps: 6, substrings: 0)
Parsed: 1.cs -> PQSQED.1 (direct deps: 5, substrings: 0)
Parsed: 10.cs -> PQSQED.10 (direct deps: 6, substrings: 1)
Parsed: 100.cs -> PQSQED.100 (direct deps: 1, substrings: 3)
Parsed: 1000.cs -> PQSQED.1000 (direct deps: 3, substrings: 5)
Parsed: 10000.cs -> PQSQED.10000 (direct deps: 6, substrings: 7)
Parsed: 100000.cs -> PQSQED.100000 (direct deps: 5, substrings: 9)
Parsed: 1000000.cs -> PQSQED.1000000 (direct deps: 6, substrings: 11)
Parsed: 1000000000.cs -> PQSQED.1000000000 (direct deps: 6, substrings: 17)
Parsed: 1000th.cs -> PQSQED.1000th (direct deps: 7, substrings: 7)
Parsed: 100th.cs -> PQSQED.100th (direct deps: 7, substrings: 5)
Parsed: 101.cs -> PQSQED.101 (direct deps: 4, substrings: 3)
Parsed: 101st.cs -> PQSQED.101st (direct deps: 7, substrings: 5)
Parsed: 105.cs -> PQSQED.105 (direct deps: 5, substrings: 3)
Parsed: 105th.cs -> PQSQED.105th (direct deps: 8, substrings: 5)
Parsed: 10Membered.cs -> PQSQED.10Membered (direct deps: 5, substrings: 30)
Parsed: 10th.cs -> PQSQED.10th (direct deps: 9, substrings: 3)
Parsed: 11-Sep.cs -> PQSQED.11 (direct deps: 7, substrings: 1)
Parsed: 11.cs -> PQSQED.11 (direct deps: 12, substrings: 1)
Parsed: 110.cs -> PQSQED.110 (direct deps: 5, substrings: 3)
Parsed: 110th.cs -> PQSQED.110th (direct deps: 8, substrings: 5)
Parsed: 115.cs -> PQSQED.115 (direct deps: 6, substrings: 3)
Parsed: 115th.cs -> PQSQED.115th (direct deps: 8, substrings: 5)
Parsed: 11Plus.cs -> PQSQED.11Plus (direct deps: 11, substrings: 8)
Parsed: 11th.cs -> PQSQED.11th (direct deps: 9, substrings: 3)
Parsed: 11_November.cs -> PQSQED.11_November (direct deps: 7, substrings: 30)
Parsed: 12.cs -> PQSQED.12 (direct deps: 5, substrings: 1)
Parsed: 120.cs -> PQSQED.120 (direct deps: 5, substrings: 3)
Parsed: 120th.cs -> PQSQED.120th (direct deps: 8, substrings: 5)
Parsed: 125.cs -> PQSQED.125 (direct deps: 6, substrings: 3)
Parsed: 125th.cs -> PQSQED.125th (direct deps: 7, substrings: 5)
Parsed: 12th.cs -> PQSQED.12th (direct deps: 9, substrings: 3)
Parsed: 12ToneMusic.cs -> PQSQED.12ToneMusic (direct deps: 15, substrings: 20)
Parsed: 12ToneSystem.cs -> PQSQED.12ToneSystem (direct deps: 15, substrings: 25)
Parsed: 13.cs -> PQSQED.13 (direct deps: 5, substrings: 1)
Parsed: 130.cs -> PQSQED.130 (direct deps: 6, substrings: 3)
Parsed: 130th.cs -> PQSQED.130th (direct deps: 8, substrings: 5)
Parsed: 135.cs -> PQSQED.135 (direct deps: 6, substrings: 3)
Parsed: 135th.cs -> PQSQED.135th (direct deps: 7, substrings: 5)
Parsed: 13th.cs -> PQSQED.13th (direct deps: 6, substrings: 3)
Parsed: 14.cs -> PQSQED.14 (direct deps: 5, substrings: 1)
Parsed: 140.cs -> PQSQED.140 (direct deps: 6, substrings: 3)
Parsed: 140th.cs -> PQSQED.140th (direct deps: 8, substrings: 5)
Parsed: 144.cs -> PQSQED.144 (direct deps: 2, substrings: 3)
Parsed: 145.cs -> PQSQED.145 (direct deps: 6, substrings: 3)
Parsed: 145th.cs -> PQSQED.145th (direct deps: 7, substrings: 5)
Parsed: 14th.cs -> PQSQED.14th (direct deps: 6, substrings: 3)
Parsed: 14_July.cs -> PQSQED.14_July (direct deps: 7, substrings: 8)
Parsed: 15.cs -> PQSQED.15 (direct deps: 5, substrings: 1)
Parsed: 150.cs -> PQSQED.150 (direct deps: 6, substrings: 3)
Parsed: 150th.cs -> PQSQED.150th (direct deps: 8, substrings: 5)
Parsed: 1530s.cs -> PQSQED.1530s (direct deps: 1, substrings: 6)
Parsed: 155.cs -> PQSQED.155 (direct deps: 6, substrings: 3)
Parsed: 155th.cs -> PQSQED.155th (direct deps: 7, substrings: 5)
Parsed: 15Minutes.cs -> PQSQED.15Minutes (direct deps: 4, substrings: 23)
Parsed: 15th.cs -> PQSQED.15th (direct deps: 9, substrings: 3)
Parsed: 15_August_1945.cs -> PQSQED.15_August_1945 (direct deps: 7, substrings: 25)
Parsed: 15_May_Organization.cs -> PQSQED.15_May_Organization (direct deps: 15, substrings: 73)
Parsed: 16.cs -> PQSQED.16 (direct deps: 5, substrings: 1)
Parsed: 160.cs -> PQSQED.160 (direct deps: 6, substrings: 3)
Parsed: 160th.cs -> PQSQED.160th (direct deps: 8, substrings: 5)
Parsed: 165.cs -> PQSQED.165 (direct deps: 6, substrings: 3)
Parsed: 165th.cs -> PQSQED.165th (direct deps: 7, substrings: 5)
Parsed: 16th.cs -> PQSQED.16th (direct deps: 6, substrings: 3)
Parsed: 16_PF.cs -> PQSQED.16_PF (direct deps: 11, substrings: 3)
Parsed: 17.cs -> PQSQED.17 (direct deps: 5, substrings: 1)
Parsed: 170.cs -> PQSQED.170 (direct deps: 6, substrings: 3)
Parsed: 170th.cs -> PQSQED.170th (direct deps: 8, substrings: 5)
Parsed: 1728.cs -> PQSQED.1728 (direct deps: 7, substrings: 6)
Parsed: 175.cs -> PQSQED.175 (direct deps: 6, substrings: 3)
Parsed: 1750s.cs -> PQSQED.1750s (direct deps: 1, substrings: 6)
Parsed: 175th.cs -> PQSQED.175th (direct deps: 7, substrings: 5)
Parsed: 1760s.cs -> PQSQED.1760s (direct deps: 1, substrings: 6)
