Class,Depth,Rank,DirectCount,DirectDependencies
PQSQED.Abrocoma,0,1,0,
PQSQED.Acanthocybium,0,1,0,
PQSQED.Acanthuridae,0,1,0,
PQSQED.Acaridae,0,1,0,
PQSQED.Acarina,0,1,0,
PQSQED.Acinonyx,0,1,0,
PQSQED.Acipenseridae,0,1,0,
PQSQED.Acridotheres,0,1,0,
PQSQED.Actinomyxidia,0,1,0,
PQSQED.Actinomyxidian,0,1,0,
PQSQED.Actinopoda,0,1,0,
PQSQED.Aedes,0,1,0,
PQSQED.Agelaius,0,1,0,
PQSQED.Agkistrodon,0,1,0,
PQSQED.Agonidae,0,1,0,
PQSQED.Alaudidae,0,1,0,
PQSQED.Alcedinidae,0,1,0,
PQSQED.Aleyrodidae,0,1,0,
PQSQED.AllAround,0,1,0,
PQSQED.Alligatoridae,0,1,0,
PQSQED.Allomorphic,0,1,0,
PQSQED.Allophonic,0,1,0,
PQSQED.AllRound,0,1,0,
PQSQED.Alnus,0,1,0,
PQSQED.Alular,0,1,0,
PQSQED.Amok,0,1,0,
PQSQED.Amphioxidae,0,1,0,
PQSQED.Amuck,0,1,0,
PQSQED.Anarhichadidae,0,1,0,
PQSQED.Anastomus,0,1,0,
PQSQED.Ancistrodon,0,1,0,
PQSQED.Ancylostomatidae,0,1,0,
PQSQED.Anhimidae,0,1,0,
PQSQED.Anhingidae,0,1,0,
PQSQED.Anisoptera,0,1,0,
PQSQED.Anseriformes,0,1,0,
PQSQED.Answering,0,1,0,
PQSQED.Anthoceros,0,1,0,
PQSQED.Anthocerotaceae,0,1,0,
PQSQED.Anthropocentric,0,1,0,
PQSQED.Anthropoidal,0,1,0,
PQSQED.Anthropoidea,0,1,0,
PQSQED.Anthus,0,1,0,
PQSQED.Antidorcas,0,1,0,
PQSQED.Antilope,0,1,0,
PQSQED.Antlered,0,1,0,
PQSQED.AntlerLike,0,1,0,
PQSQED.Aotus,0,1,0,
PQSQED.Apelike,0,1,0,
PQSQED.Apodiformes,0,1,0,
PQSQED.Apoidea,0,1,0,
PQSQED.AquaticMammal,0,1,0,
PQSQED.Araneae,0,1,0,
PQSQED.Araneida,0,1,0,
PQSQED.Arctictis,0,1,0,
PQSQED.Arenaria,0,1,0,
PQSQED.Argynnis,0,1,0,
PQSQED.Aristolochia,0,1,0,
PQSQED.Arthropoda,0,1,0,
PQSQED.Aspidophoroides,0,1,0,
PQSQED.Atrichornithidae,0,1,0,
PQSQED.Atropidae,0,1,0,
PQSQED.Aulostomidae,0,1,0,
